ID,LABEL,OBSTRUCTION
monchengladbach_000000_023856,8 21 8 26 17 26 26 26 26 17 17 17 17 21 17 26 17 33 33 17 17 17 17 17 26 ,0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 0 
hanover_000000_005732,26 21 17 17 21 26 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 26 17 8 26 17 26 17 17 17 12 17 26 26 26 26 17 33 17 33 17 21 17 21 17 17 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 
strasbourg_000000_022489,8 8 10 8 8 8 8 26 13 21 21 21 21 26 17 17 17 17 17 17 17 17 17 17 17 21 17 26 17 8 17 26 33 17 17 26 ,0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 
strasbourg_000000_013654,21 8 8 8 17 17 17 17 17 17 26 26 17 26 26 26 26 33 17 17 13 17 17 17 ,0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 
stuttgart_000102_000019,21 21 8 21 13 8 26 17 17 26 21 21 13 17 17 17 ,0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 1 
cologne_000084_000019,21 17 26 26 26 26 26 26 26 17 26 26 26 26 26 26 26 26 26 26 26 26 33 26 8 17 33 26 26 26 26 26 26 26 26 26 26 17 26 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
strasbourg_000001_035562,8 10 10 21 21 8 17 17 13 13 13 17 17 17 17 17 17 8 17 26 17 17 ,0 1 0 1 1 0 1 1 1 0 1 0 0 1 1 1 1 0 1 0 1 1 
dusseldorf_000148_000019,8 8 8 8 8 17 17 21 17 26 26 17 21 26 17 17 17 17 17 17 17 17 17 17 17 17 17 17 21 17 17 21 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
tubingen_000028_000019,21 21 21 21 12 8 12 17 17 21 21 21 8 ,0 0 0 0 1 0 1 1 0 0 1 0 0 
frankfurt_000001_062509,26 26 26 33 17 17 17 17 8 17 17 17 17 17 17 17 17 17 17 26 17 17 17 17 17 17 17 17 26 26 26 26 26 8 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 
frankfurt_000001_013496,8 8 8 8 17 17 26 8 17 17 26 26 26 26 17 26 26 26 26 26 21 21 17 26 26 33 26 26 26 26 12 17 21 17 17 17 21 26 21 17 33 21 17 17 17 17 33 17 17 17 26 17 ,0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 
monchengladbach_000000_004580,8 8 8 13 21 17 17 26 13 21 17 17 17 17 17 26 17 17 26 26 17 17 17 17 17 17 17 17 17 33 17 17 17 17 26 17 17 ,0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1 1 0 1 1 0 1 1 
aachen_000008_000019,8 8 12 26 21 21 21 21 21 17 17 17 17 17 17 17 17 17 17 17 17 17 17 26 17 21 26 17 26 17 26 17 17 21 17 17 17 17 17 17 17 17 17 17 17 21 17 17 17 17 17 17 17 17 17 ,0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 
erfurt_000097_000019,21 21 8 21 17 26 8 8 21 21 21 26 26 26 26 17 8 12 26 26 12 17 26 17 26 17 12 13 12 13 ,1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1 1 
stuttgart_000135_000019,21 8 21 8 26 26 26 17 17 17 26 26 26 17 26 21 17 26 26 26 26 17 26 17 26 17 17 26 26 26 26 ,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
stuttgart_000074_000019,8 8 21 8 17 21 21 17 17 17 21 17 17 17 17 17 17 21 17 17 17 21 17 17 17 17 17 17 17 26 26 26 26 26 26 26 26 13 17 ,0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
aachen_000149_000019,8 8 8 21 26 26 26 17 17 17 26 21 21 17 17 17 17 21 21 17 17 21 17 17 26 17 17 17 17 8 ,0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 
bremen_000082_000019,8 17 17 17 17 17 17 17 21 17 17 17 17 17 8 17 17 21 17 17 17 17 8 8 21 17 17 17 17 17 17 17 17 17 17 17 21 17 21 21 21 17 17 21 17 33 21 17 17 13 17 17 17 26 26 ,0 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 0 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 1 0 0 
hanover_000000_038855,8 8 21 17 17 17 26 33 33 33 21 33 26 17 26 17 17 17 ,0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 
frankfurt_000001_072295,21 8 21 17 21 21 21 21 17 26 17 17 26 26 21 21 21 17 21 26 17 17 17 17 17 8 17 17 17 17 17 17 17 17 21 26 26 26 26 26 26 17 26 26 17 17 21 17 17 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
dusseldorf_000009_000019,8 17 17 17 21 26 26 26 21 26 26 17 21 8 26 26 17 21 26 26 21 21 17 21 17 17 26 26 21 26 17 26 17 21 17 26 17 21 17 17 26 ,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
hanover_000000_018213,17 8 21 21 21 17 26 26 17 17 17 26 26 26 26 26 26 26 26 17 17 26 17 17 17 17 17 17 26 17 26 17 17 17 17 26 26 17 26 17 17 26 26 26 17 17 17 17 26 17 26 26 26 17 26 17 12 26 17 17 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
frankfurt_000001_007622,8 8 13 17 17 17 17 21 21 21 17 17 17 17 17 33 21 17 26 17 26 26 17 17 13 17 17 17 17 26 8 13 ,0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
frankfurt_000000_012121,8 21 17 17 26 26 26 13 21 12 21 13 26 13 26 17 17 17 17 17 21 26 17 17 26 26 17 17 17 17 17 26 17 17 26 17 17 26 18 26 21 17 17 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
hanover_000000_034935,21 8 13 21 17 17 17 17 26 17 17 17 17 17 17 17 17 26 26 17 17 13 17 26 26 17 17 26 17 17 26 17 33 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
stuttgart_000043_000019,21 12 8 26 26 26 26 17 17 17 26 26 17 26 17 ,0 1 0 0 0 0 0 1 1 1 0 0 1 0 1 
weimar_000038_000019,8 21 21 33 17 17 17 17 17 17 17 17 21 8 17 17 26 26 21 ,0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 
hanover_000000_045841,21 21 8 21 17 17 33 33 17 26 17 17 33 17 17 17 33 17 17 17 33 26 26 17 17 26 26 26 12 21 17 17 17 17 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 
frankfurt_000001_057954,8 8 8 21 21 17 21 17 26 17 26 17 17 17 17 17 17 33 17 17 17 21 21 ,0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 
bremen_000196_000019,8 8 26 21 17 13 17 17 17 17 26 17 26 17 17 17 17 17 17 17 26 26 17 26 26 26 26 17 26 26 17 17 26 ,0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
jena_000068_000019,21 21 8 8 21 13 26 17 26 26 26 26 17 26 26 26 17 26 26 26 26 17 26 26 26 17 17 13 33 33 17 17 26 17 26 26 ,1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
stuttgart_000160_000019,21 17 8 8 26 26 21 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 17 17 17 21 26 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
bochum_000000_004229,21 8 21 21 21 17 21 26 26 21 26 21 21 8 21 26 21 21 21 21 17 26 21 17 17 21 26 17 8 17 ,0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 1 0 0 
stuttgart_000157_000019,21 21 8 8 17 21 21 21 21 8 17 26 26 26 26 26 26 21 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 ,1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
munster_000019_000019,8 21 21 8 17 17 17 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 17 17 26 17 26 21 17 21 17 26 21 26 33 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 
frankfurt_000000_000294,8 8 8 21 17 17 21 17 13 17 26 17 17 17 17 17 17 26 17 17 26 17 ,0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 
frankfurt_000001_059789,21 21 26 26 26 8 8 8 8 17 17 26 17 17 26 26 17 17 26 17 26 17 17 26 17 17 17 17 17 26 17 26 17 17 17 17 17 17 17 17 26 26 17 17 17 17 17 17 17 26 26 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 ,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 
aachen_000095_000019,21 17 8 8 17 21 17 21 17 21 21 21 21 21 8 17 21 17 26 26 8 26 33 17 33 ,0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 
strasbourg_000000_014503,21 8 8 8 17 17 17 17 17 17 33 17 33 17 17 33 26 26 17 17 26 33 33 17 26 17 17 17 ,0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 1 1 0 0 1 1 1 
hamburg_000000_053486,21 8 17 26 17 26 26 26 26 26 26 21 8 17 17 17 21 17 17 13 17 17 21 12 17 26 17 21 21 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 
strasbourg_000001_011775,21 17 17 17 8 17 17 17 17 21 17 17 17 8 13 26 26 26 8 17 17 17 17 26 17 26 17 17 17 17 17 17 17 13 17 33 33 17 17 17 17 26 ,0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 
krefeld_000000_023698,21 8 26 17 17 17 17 17 17 33 26 26 26 26 8 17 17 21 17 13 17 17 17 13 17 17 17 17 ,0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0 
tubingen_000082_000019,8 8 17 17 21 26 33 ,0 0 0 0 0 0 0 
bremen_000169_000019,8 8 21 12 17 17 26 26 17 26 26 26 21 12 26 12 ,0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 
ulm_000041_000019,21 21 17 17 17 17 17 17 12 17 17 17 17 17 17 21 8 17 26 8 17 17 17 17 17 ,0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 
bremen_000314_000019,8 21 21 8 21 18 21 13 17 33 33 33 33 33 21 21 17 17 17 21 17 17 17 17 17 ,0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 1 
cologne_000019_000019,8 17 17 21 17 17 13 33 17 17 26 26 26 26 8 13 26 17 ,0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 
jena_000097_000019,8 8 8 8 21 21 17 21 21 21 13 26 13 17 17 17 17 17 17 17 21 17 33 33 17 17 21 12 17 26 17 17 17 17 17 13 17 ,0 0 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 1 
strasbourg_000001_045481,21 21 8 21 26 26 17 17 17 12 17 17 17 26 26 26 26 26 17 26 26 26 26 26 26 26 8 26 26 26 26 18 26 21 17 ,0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
darmstadt_000020_000019,8 21 17 17 8 17 17 17 26 17 17 26 17 26 17 21 17 26 17 13 21 17 17 17 17 17 17 17 17 17 21 26 21 17 26 17 17 17 17 21 17 17 17 21 ,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1 0 0 0 1 1 1 1 1 
hanover_000000_019938,8 17 21 17 17 26 26 26 17 12 17 17 17 17 21 17 26 26 17 17 17 17 26 26 17 17 17 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
bremen_000237_000019,8 8 21 21 17 21 17 26 26 26 26 17 26 26 26 21 26 17 17 33 21 17 21 33 17 17 17 21 21 13 21 13 17 26 26 26 26 26 26 26 ,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 
strasbourg_000001_050098,8 8 21 13 21 26 26 17 17 17 17 17 17 17 17 17 21 17 8 17 21 13 17 21 33 21 17 17 ,0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 
zurich_000008_000019,8 8 21 17 17 17 17 17 17 17 13 26 17 8 26 8 26 12 ,0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 
bochum_000000_000885,21 26 8 21 21 26 26 26 26 26 17 17 26 26 26 17 17 17 17 17 21 17 8 26 26 26 26 26 17 8 21 21 26 26 12 17 17 17 13 17 10 17 17 26 17 17 21 17 8 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 
bremen_000200_000019,8 8 8 21 13 13 17 21 17 17 33 17 26 17 21 26 21 21 26 17 17 26 17 21 26 21 17 26 21 17 ,0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 
strasbourg_000001_060173,13 12 12 12 8 8 8 8 21 17 17 26 17 17 17 17 18 17 17 13 ,1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 
hanover_000000_032559,8 21 17 17 17 17 21 26 17 17 17 21 26 17 26 17 17 33 26 21 17 26 26 26 26 26 26 26 26 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
hamburg_000000_006322,8 21 8 26 26 26 21 21 17 26 21 21 21 17 26 26 21 21 26 26 26 21 26 21 17 21 26 26 21 26 21 13 17 17 13 ,0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 
bochum_000000_017453,26 8 8 33 26 13 21 33 17 17 17 17 17 17 17 26 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 13 26 26 8 26 17 17 21 21 17 17 26 17 17 17 26 ,0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
darmstadt_000017_000019,12 10 8 8 17 26 21 17 26 21 17 17 26 17 17 17 17 17 26 26 26 26 26 26 26 26 17 17 17 17 26 26 26 26 26 26 26 26 26 26 21 33 17 17 21 17 21 17 17 17 17 ,0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 
weimar_000092_000019,21 8 13 17 17 26 17 21 17 17 26 26 26 26 26 26 26 ,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
frankfurt_000000_021879,21 8 13 17 17 17 17 26 8 26 17 17 26 26 8 8 17 17 17 33 17 17 17 17 17 21 21 21 26 26 26 26 26 26 26 17 17 17 8 21 17 17 26 26 26 26 8 ,0 0 1 1 1 1 1 0 0 0 1 1 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
munster_000084_000019,8 8 17 17 17 17 17 21 21 21 26 17 17 17 17 17 17 21 17 17 17 21 17 17 17 17 17 17 17 17 17 17 17 17 17 26 17 17 26 21 21 21 17 26 33 33 17 21 17 33 ,0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 1 1 1 0 1 1 
bochum_000000_033056,8 8 8 21 26 17 21 26 17 17 26 17 26 17 26 26 17 17 17 17 17 17 13 12 17 17 21 21 26 17 17 12 26 26 26 17 ,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 
strasbourg_000000_004248,26 8 21 26 8 8 8 8 8 12 21 21 21 17 26 13 17 8 17 12 12 21 8 26 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 26 17 17 17 17 17 18 17 17 26 26 26 26 26 33 17 17 13 17 ,0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 0 1 1 0 0 0 0 1 1 0 0 1 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 1 1 
ulm_000023_000019,21 17 21 21 8 17 21 17 17 17 17 17 17 17 17 17 17 17 17 21 21 17 17 17 17 17 17 17 17 17 17 17 17 17 26 26 26 26 26 26 26 26 ,0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
dusseldorf_000180_000019,8 8 8 21 21 13 8 17 33 33 33 33 33 17 21 26 26 33 33 17 26 26 26 21 17 17 17 17 17 17 17 17 ,0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 
frankfurt_000000_009688,21 21 21 21 8 17 17 17 17 17 17 17 17 17 17 17 17 17 17 13 8 17 17 17 17 17 17 17 17 17 17 17 17 17 13 17 33 33 33 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 
bremen_000255_000019,17 21 21 17 17 26 26 21 17 17 21 17 26 26 26 17 17 8 13 17 26 26 17 17 17 17 26 17 21 8 17 17 13 17 33 33 17 33 33 17 33 17 17 26 26 26 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 
strasbourg_000001_031116,8 10 21 33 17 17 8 21 21 21 17 17 17 17 17 33 33 ,0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 
bremen_000028_000019,33 17 8 8 17 21 12 ,0 0 0 0 0 0 1 
darmstadt_000042_000019,26 21 21 8 21 17 17 17 17 17 17 17 17 21 26 26 26 17 26 26 10 26 8 21 26 26 26 26 26 26 26 17 17 26 26 26 26 17 17 17 17 8 17 17 26 17 ,0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
hamburg_000000_046510,8 8 17 21 17 17 17 26 26 26 17 33 17 33 21 17 17 17 17 33 33 33 ,0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1 
dusseldorf_000094_000019,21 8 8 26 26 26 17 26 26 26 21 17 17 17 17 26 17 17 8 33 17 17 17 17 26 17 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 
darmstadt_000075_000019,8 21 26 26 21 21 17 17 8 21 17 26 26 26 26 17 17 17 17 17 21 21 17 17 26 26 26 26 17 17 26 26 33 17 17 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 
bremen_000262_000019,21 17 17 17 17 26 26 26 26 21 17 17 21 17 17 17 17 26 26 26 26 8 26 17 33 17 17 21 17 17 26 8 8 17 17 17 17 17 ,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 
bochum_000000_034936,8 8 8 8 21 21 21 17 17 26 17 17 17 26 26 17 26 26 17 17 26 26 26 17 17 17 17 17 17 17 26 17 17 17 17 26 17 17 17 17 26 26 26 ,0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 
krefeld_000000_015868,21 13 12 8 26 26 18 8 21 17 17 17 17 17 17 8 26 17 21 17 17 17 17 17 17 17 17 17 17 17 8 18 17 17 17 17 21 17 17 17 17 21 17 17 17 17 17 17 21 21 17 18 17 17 17 17 17 17 17 26 ,0 1 1 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
dusseldorf_000154_000019,8 8 17 17 17 17 17 26 33 26 21 26 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 21 17 17 17 17 ,0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 
tubingen_000034_000019,8 21 21 17 17 21 21 17 8 17 17 17 17 17 8 26 26 33 33 33 ,0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 1 1 1 
